titulo,poster,genero,titulo2,url
Besos Kitty Temporada 2,https://image.tmdb.org/t/p/w185/bqP3sSPfvjea4AgdNli7vl10kUy.jpg,Serie,Besos Kitty ,https://www.wflix.lat/2025/01/besos-kitty-temporada-2-todo-en-uno.html
Besos Kitty Temporada 1 (TODO EN UNO),https://image.tmdb.org/t/p/w185/dn5joBmWjtdXpND0wmHQ58IkGAg.jpg,Serie,Besos Kitty ,https://www.wflix.lat/2025/01/besos-kitty-todo-en-uno.html
Propuesta laboral (TODO EN UNO),https://image.tmdb.org/t/p/w185/3Z8nacEGgQMNGHNi0IQPHOycsXz.jpg,Serie,Propuesta laboral ,https://www.wflix.lat/2025/01/propuesta-laboral-todo-en-uno.html
Euphoria Temporada 1 (TODO EN UNO),https://image.tmdb.org/t/p/w185/9MmQrUGUbDDl2lHMwZvhjgNnkZt.jpg,Serie,Euphoria ,https://www.wflix.lat/2025/01/euphoria-temporada-1-todo-en-uno.html
Euphoria Temporada 2 (TODO EN UNO),https://image.tmdb.org/t/p/w185/jtnfNzqZwN4E32FGGxx1YZaBWWf.jpg,Serie,Euphoria ,https://www.wflix.lat/2025/01/euphoria-temporada-2-todo-en-uno.html
La trampa del ratón (2024),https://image.tmdb.org/t/p/w185/9eZkAWx3Qk9BzxfdK97ugqlgzvU.jpg,Terror Suspense,The Mouse Trap La trampa del ratón,https://www.wflix.lat/2025/01/la-trampa-del-raton.html
Asesino Serial (2024),https://image.tmdb.org/t/p/w185/2ts5lChF2rKE11RTmKGY1IyNFdu.jpg,Crimen Terror Suspense,Strange Darling ,https://www.wflix.lat/2025/01/asesino-serial.html
Nosferatu (2024),https://image.tmdb.org/t/p/w185/jivUhECegXI3OYtPVflWoIDtENt.jpg,Terror Fantasía Drama,Nosferatu ,https://www.wflix.lat/2025/01/nosferatu.html
Alice in Borderland T1 (TODO EN UNO),https://image.tmdb.org/t/p/w185/dWNWMp16kGeddW9ihSvNikxG7lc.jpg,Serie,Alice in Borderland,https://www.wflix.lat/2025/01/alice-in-borderland-t1-todo-en-uno.html
Alice in Borderland T2 (TODO EN UNO),https://image.tmdb.org/t/p/w185/s3ZAS0AGLQ668sFveVFinAd2zVy.jpg,Serie,Alice in Borderland,https://www.wflix.lat/2025/01/alice-in-borderland-t2-todo-en-uno.html
El juego del calamar T2 (TODO EN UNO),https://image.tmdb.org/t/p/w185/zyAQIyneN4b1t0yjfvYdeooXjJA.jpg,Serie,The,https://www.wflix.lat/2024/12/el-juego-del-calamar-temporada-2.html
El juego del calamar T1 (TODO EN UNO),https://image.tmdb.org/t/p/w185/74qMRUy0lwkBBi39vsQVerIDkHj.jpg,serie,juego del calamar,https://www.wflix.lat/2024/12/el-juego-del-calamar-todo-en-uno.html
Los Simpson Temporada 8 (TODO EN UNO),https://image.tmdb.org/t/p/w185/sdD27uPSeTOutfgR9BgcLCs73Uc.jpg,Serie,Los Simpson ,https://www.wflix.lat/2025/01/los-simpson-temporada-8-todo-en-uno.html
El stand de los besos (2018),https://image.tmdb.org/t/p/w185/eVRw197B6UOR27oPeHQSQQShTsL.jpg,Romance Comedia,The Kissing Booth Mi primer beso,https://www.wflix.lat/2025/01/el-stand-de-los-besos.html
El stand de los besos 2 (2020),https://image.tmdb.org/t/p/w185/cwCR4d9sB98eeiXr76K0wpJsKhk.jpg,Comedia Romance,The Kissing Booth 2 Mi primer beso 2,https://www.wflix.lat/2025/01/el-stand-de-los-besos-2.html
El stand de los besos 3 (2021),https://image.tmdb.org/t/p/w185/jdD6Rd8XMXPFZmCXLKWPthd1HsV.jpg,Romance Comedia,The Kissing Booth 3 Mi primer beso 3,https://www.wflix.lat/2025/01/el-stand-de-los-besos-3.html
Kraven el cazador (2024),https://image.tmdb.org/t/p/w185/gabWTSVhzltlKkmcqPoJmjKJxyb.jpg,Acción Aventura Suspense,Kraven the Hunter ,https://www.wflix.lat/2024/12/kraven-el-cazador.html
Kung Fu Panda (2008),https://image.tmdb.org/t/p/w185/zcORJ8s9zsBjvKxP0k4FASQSjpf.jpg,Acción Aventura Animación Familia Comedia,Kung Fu Panda ,https://www.wflix.lat/2025/01/kung-fu-panda.html
Kung Fu Panda 2 (2011),https://image.tmdb.org/t/p/w185/aNji9U9SPTecmoqGippQUBEyouy.jpg,Animación Familia Comedia,Kung Fu Panda 2 Kung Fu Panda 2,https://www.wflix.lat/2025/01/kung-fu-panda-2.html
Kung Fu Panda 3 (2016),https://image.tmdb.org/t/p/w185/t11f8palNbICK9Ip5QLrUfhLJYq.jpg,Acción Aventura Animación Comedia Familia,Kung Fu Panda 3 ,https://www.wflix.lat/2025/01/kung-fu-panda-3.html
Kung Fu Panda 4 (2024),https://image.tmdb.org/t/p/w185/zS8BSQdbOesql0EWbs17kPvLoAT.jpg,Animación Familia Fantasía Acción,Kung Fu Panda 4 ,https://www.wflix.lat/2025/01/kung-fu-panda-4.html
Mi pobre angelito (1990),https://image.tmdb.org/t/p/w185/rjc2a9N5pro1xGsSvvnJ1JDXRGm.jpg,Comedia Familia,Home Alone Solo en casa,https://www.wflix.lat/2024/12/mi-pobre-angelito.html
Mi pobre angelito 2: Perdido en Nueva York (1992),https://image.tmdb.org/t/p/w185/7sdiRUyc0ANHJptPhsgb1KL6hoq.jpg,Comedia Familia Aventura,Home Alone 2: Lost in New York Solo en casa 2: Perdido en Nueva York,https://www.wflix.lat/2024/12/mi-pobre-angelito-2-perdido-en-nueva.html
El misterio de Salem's Lot (2024),https://image.tmdb.org/t/p/w185/lQj4jn6CmQ88Q7XsYvhenHjVIO.jpg,Terror,Salem's Lot El misterio de Salem's Lot,https://www.wflix.lat/2024/12/el-misterio-de-salems-lot.html
Turno nocturno (2024),https://image.tmdb.org/t/p/w185/qFPSQLIb922GT0pRsesu3sEwN91.jpg,Terror,Turno nocturno ,https://www.wflix.lat/2024/12/turno-nocturno.html
Código: Traje rojo (2024),https://image.tmdb.org/t/p/w185/dpskAcm71w5v8zQ8RmPmJiP31Om.jpg,Acción Fantasía Comedia,Red One Codigo,https://www.wflix.lat/2024/12/codigo-traje-rojo.html
Venom 3: El último baile (2024),https://image.tmdb.org/t/p/w185/b0obWWCLRVRqRzlSK1LSGtADkLM.jpg,Acción Ciencia ficción Aventura Suspense,Venom: The Last Dance Venom: El último baile,https://www.wflix.lat/2024/12/venom-el-ultimo-baile.html
